saguaro_number,date,buds,flowers,green_fruit,red_fruit
30,2018-03-06,0,0,0,0
30,2018-03-07,0,1,0,0
30,2018-03-08,0,0,0,0
30,2018-03-11,0,0,0,0
30,2018-03-12,0,0,0,0
30,2018-03-13,0,0,0,0
30,2018-03-14,0,0,0,0
30,2018-03-15,0,0,0,0
30,2018-03-16,0,0,0,0
30,2018-03-18,0,0,0,0
30,2018-03-19,0,0,0,0
30,2018-03-20,0,0,0,0
30,2018-03-21,0,0,0,0
30,2018-03-22,0,0,0,0
30,2018-03-23,0,0,0,0
30,2018-03-25,0,0,0,0
30,2018-03-26,0,0,0,0
30,2018-03-27,0,0,0,0
30,2018-03-28,0,0,0,0
30,2018-03-29,2,0,1,0
30,2018-03-30,5,0,0,0
30,2018-04-01,13,0,0,0
30,2018-04-02,14,0,0,0
30,2018-04-03,13,0,0,0
30,2018-04-04,24,0,0,0
30,2018-04-05,13,0,0,0
30,2018-04-08,38,0,0,0
30,2018-04-09,38,0,0,0
30,2018-04-10,42,0,0,0
30,2018-04-11,41,0,0,0
30,2018-04-12,26,1,0,0
30,2018-04-13,41,3,0,0
30,2018-04-15,47,2,0,0
30,2018-05-16,42,2,0,0
30,2018-05-17,22,7,0,1
30,2018-05-18,29,5,0,0
30,2018-05-19,28,4,1,0
30,2018-05-21,23,0,3,0
30,2018-05-22,14,2,5,0
30,2018-05-23,21,1,3,0
30,2018-05-24,19,4,3,0
30,2018-05-25,19,3,5,0
30,2018-05-26,15,2,6,0
30,2018-05-28,17,1,6,0
30,2018-05-29,17,0,6,0
30,2018-05-30,6,0,14,0
30,2018-05-31,8,0,11,0
30,2018-06-01,3,0,13,0
30,2018-06-02,2,0,13,0
30,2018-06-04,0,0,14,0
30,2018-06-05,0,0,14,0
30,2018-06-06,0,0,12,0
30,2018-06-07,0,0,11,0
30,2018-06-08,0,0,9,0
30,2018-06-11,1,0,14,0
30,2018-06-12,0,0,11,0
30,2018-06-13,0,0,11,0
30,2018-06-14,0,0,14,0
30,2018-06-15,0,0,10,0
30,2018-06-16,0,0,13,0
30,2018-06-18,0,0,12,0
30,2018-06-19,0,0,12,0
30,2018-06-20,0,0,14,0
30,2018-06-21,3,0,12,0
30,2018-06-22,0,0,14,0
30,2018-06-23,0,0,12,5
30,2018-06-25,0,0,6,4
30,2018-06-26,0,0,8,3
30,2018-06-27,0,0,5,1
30,2018-06-28,1,0,3,5
30,2018-06-29,4,0,2,6
30,2018-06-30,0,0,1,8
30,2018-07-02,0,0,0,1
30,2018-07-03,0,0,0,1
30,2018-07-05,0,0,0,0
30,2018-07-06,0,0,0,0
30,2018-07-07,0,0,0,0
30,2018-07-09,0,0,0,0
30,2018-07-10,0,0,0,0
30,2018-07-11,1,0,0,0
30,2018-07-12,0,0,0,0
30,2018-07-17,0,0,0,0
30,2018-07-23,0,0,0,0
30,2019-04-09,0,0,0,0
30,2019-04-10,0,0,0,0
30,2019-04-11,0,0,0,1
30,2019-04-12,0,0,0,0
30,2019-04-13,0,0,0,0
30,2019-04-15,0,0,0,0
30,2019-04-16,0,0,0,0
30,2019-04-18,0,0,0,2
30,2019-04-19,0,0,0,0
30,2019-04-20,0,0,0,0
30,2019-04-22,0,0,0,0
30,2019-04-23,0,0,0,0
30,2019-04-25,1,0,0,0
30,2019-04-26,0,0,0,0
30,2019-04-27,1,0,0,0
30,2019-04-29,0,0,0,0
30,2019-04-30,0,0,0,0
30,2019-05-01,0,0,0,0
30,2019-05-02,0,0,0,0
30,2019-05-03,0,0,0,0
30,2019-05-04,0,0,0,0
30,2019-05-06,0,0,0,0
30,2019-05-07,0,0,0,0
30,2019-05-08,0,0,0,0
30,2019-05-09,0,0,0,0
30,2019-05-10,0,0,0,0
30,2019-05-11,0,0,0,0
30,2019-05-13,0,0,0,0
30,2019-05-14,0,0,0,0
30,2019-05-15,0,0,0,0
30,2019-05-16,0,0,0,0
30,2019-05-17,0,0,0,0
30,2019-05-18,0,0,0,0
30,2019-05-20,0,0,0,0
30,2019-05-21,0,0,0,0
30,2019-05-22,0,0,0,0
30,2019-05-23,0,0,0,0
30,2019-05-24,0,0,0,0
30,2019-05-25,3,0,0,0
30,2019-05-27,0,0,0,0
30,2019-05-28,0,0,0,0
30,2019-05-29,0,0,0,0
30,2019-05-30,3,0,0,0
30,2019-05-31,9,0,0,0
30,2019-06-01,9,0,0,0
30,2019-06-03,9,0,0,0
30,2019-06-04,6,0,0,0
30,2019-06-05,6,0,0,0
30,2019-06-06,8,0,0,0
30,2019-06-07,11,0,0,0
30,2019-06-08,8,0,0,0
30,2019-06-10,15,0,0,0
30,2019-06-11,9,2,1,0
30,2019-06-12,16,0,0,0
30,2019-06-13,12,2,1,0
30,2019-06-14,8,1,0,0
30,2019-06-15,5,0,0,0
30,2019-06-17,12,0,0,0
30,2019-06-18,16,0,0,0
30,2019-06-19,13,0,0,0
30,2019-06-20,15,0,0,0
30,2019-06-21,13,0,0,0
30,2019-06-22,10,1,0,0
30,2019-06-24,7,1,1,0
30,2019-06-25,14,2,0,0
30,2019-06-28,8,0,0,0
30,2019-06-29,3,1,0,0
30,2019-07-01,2,1,1,0
30,2019-07-02,1,0,1,0
30,2019-07-03,0,0,0,0
30,2019-07-04,0,0,0,0
30,2019-07-05,0,0,0,0
30,2019-07-06,0,0,0,0
30,2019-07-08,0,0,0,0
30,2019-07-09,0,0,0,1
30,2019-07-10,0,0,0,0
30,2019-07-11,0,0,0,0
30,2019-07-12,0,0,0,0
30,2019-07-13,0,0,0,0
30,2019-07-15,0,0,0,0
30,2019-07-16,0,0,0,0
30,2019-07-18,0,0,0,0
