Filename,Ground Truth,Predicted
10_2000_03_12_509.jpg,{},{}
10_2000_03_22_518.jpg,{},{}
10_2000_03_30_525.jpg,{'Bud': 7},{'Budrotation': 3}
10_2000_04_01_526.jpg,{'Bud': 9},{'Budrotation': 3}
10_2000_04_05_530.jpg,{'Bud': 15},"{'Budrotation': 9, 'Flowerrotation': 1}"
10_2000_04_08_531.jpg,{'Bud': 23},{'Budrotation': 13}
10_2000_04_10_533.jpg,"{'Flower': 2, 'Bud': 21}","{'Flowerrotation': 2, 'Budrotation': 15}"
10_2015_01_01_151.jpg,"{'Green Fruit': 30, 'Red Fruit': 8}","{'Red Fruitrotation': 4, 'Green Fruitrotation': 22}"
10_2017_04_25_99.jpg,{},{}
10_2017_05_13_142.jpg,{'Bud': 21},{'Budrotation': 19}
10_2017_05_24_145.jpg,"{'Bud': 16, 'Green Fruit': 3, 'Flower': 1}","{'Green Fruitrotation': 2, 'Budrotation': 14, 'Flowerrotation': 1}"
10_2017_05_29_146.jpg,"{'Green Fruit': 5, 'Bud': 10, 'Flower': 1}","{'Green Fruitrotation': 3, 'Budrotation': 2, 'Flowerrotation': 2}"
10_2017_06_02_123.jpg,"{'Green Fruit': 10, 'Bud': 1}","{'Green Fruitrotation': 8, 'Budrotation': 1}"
10_2017_06_17_111.jpg,{'Green Fruit': 8},{'Green Fruitrotation': 7}
10_2018_05_16_538.jpg,{'Bud': 39},{'Budrotation': 33}
10_2018_05_17_539.jpg,"{'Bud': 38, 'Flower': 1}","{'Flowerrotation': 1, 'Budrotation': 31}"
10_2018_05_21_542.jpg,"{'Bud': 26, 'Green Fruit': 4, 'Flower': 1}","{'Budrotation': 23, 'Flowerrotation': 1, 'Green Fruitrotation': 3}"
10_2018_05_25_546.jpg,"{'Bud': 22, 'Green Fruit': 6}","{'Budrotation': 19, 'Green Fruitrotation': 4}"
10_2018_06_01_554.jpg,"{'Green Fruit': 14, 'Bud': 6, 'Flower': 2}","{'Flowerrotation': 2, 'Budrotation': 8, 'Green Fruitrotation': 8}"
10_2018_06_27_575.jpg,"{'Green Fruit': 11, 'Red Fruit': 5}","{'Red Fruitrotation': 4, 'Green Fruitrotation': 9}"
10_2018_07_06_582.jpg,"{'Green Fruit': 1, 'Red Fruit': 2}","{'Green Fruitrotation': 1, 'Red Fruitrotation': 2}"
10_2019_04_10_54.jpg,{},{}
10_2019_05_17_1.jpg,{},{}
10_2019_05_23_47.jpg,{},{}
10_2019_05_28_48.jpg,{},{}
10_2019_06_12_75.jpg,{},{}
10_2019_06_13_19.jpg,{},{}
10_2019_07_03_82.jpg,{},{}
10_2019_07_24_90.jpg,{},{}
10_2020_05_08_436.jpg,{'Bud': 27},{'Budrotation': 18}
10_2020_05_16_443.jpg,{'Bud': 31},{'Budrotation': 20}
10_2020_07_13_494.jpg,{},{}
10_2021_04_05_289.jpg,{},{'Red Fruitrotation': 1}
10_2021_04_12_295.jpg,{},{}
10_2021_04_19_301.jpg,{'Bud': 7},{'Budrotation': 5}
10_2021_04_29_310.jpg,{'Bud': 27},"{'Budrotation': 13, 'Red Fruitrotation': 1}"
10_2021_05_02_313.jpg,{'Bud': 56},{'Budrotation': 36}
10_2021_05_04_317.jpg,{'Bud': 57},{'Budrotation': 39}
10_2021_05_08_324.jpg,{'Bud': 71},{'Budrotation': 47}
10_2021_05_13_329.jpg,"{'Bud': 68, 'Flower': 1}","{'Flowerrotation': 1, 'Budrotation': 46, 'Red Fruitrotation': 1}"
10_2021_05_23_337.jpg,"{'Bud': 27, 'Green Fruit': 18, 'Flower': 1}","{'Budrotation': 21, 'Green Fruitrotation': 9, 'Flowerrotation': 2}"
10_2021_06_04_357.jpg,"{'Green Fruit': 26, 'Flower': 1, 'Bud': 3}","{'Green Fruitrotation': 8, 'Flowerrotation': 1}"
10_2021_06_07_363.jpg,{'Green Fruit': 32},{'Green Fruitrotation': 21}
10_2021_06_10_370.jpg,{'Green Fruit': 30},{'Green Fruitrotation': 23}
10_2021_06_16_376.jpg,"{'Green Fruit': 24, 'Red Fruit': 3}","{'Green Fruitrotation': 15, 'Red Fruitrotation': 1}"
10_2021_06_17_378.jpg,"{'Green Fruit': 27, 'Red Fruit': 3}","{'Green Fruitrotation': 17, 'Red Fruitrotation': 1}"
10_2021_06_18_377.jpg,"{'Green Fruit': 25, 'Red Fruit': 2}","{'Green Fruitrotation': 16, 'Red Fruitrotation': 2}"
10_2021_07_06_396.jpg,{'Red Fruit': 2},{'Red Fruitrotation': 1}
10_2021_07_13_400.jpg,{},{}
10_2022_05_31_258.jpg,{},{}
10_2022_06_11_266.jpg,{},{}
10_2022_06_23_273.jpg,{},{}
10_2022_07_01_279.jpg,{},{}
10_2022_07_13_286.jpg,{},{}
10_2023_04_08_153.jpg,{},{}
10_2023_05_11_174.jpg,{'Bud': 25},{'Budrotation': 20}
10_2023_05_16_178.jpg,"{'Bud': 49, 'Flower': 1}","{'Budrotation': 35, 'Flowerrotation': 1}"
10_2023_05_20_182.jpg,"{'Flower': 5, 'Bud': 42}","{'Budrotation': 34, 'Flowerrotation': 4}"
10_2023_05_31_194.jpg,"{'Green Fruit': 24, 'Bud': 21, 'Flower': 5}","{'Green Fruitrotation': 12, 'Budrotation': 16, 'Flowerrotation': 4}"
10_2023_06_06_199.jpg,"{'Green Fruit': 41, 'Bud': 4}","{'Green Fruitrotation': 20, 'Budrotation': 4}"
10_2023_06_16_207.jpg,{'Green Fruit': 45},{'Green Fruitrotation': 22}
10_2023_06_21_210.jpg,{'Green Fruit': 36},{'Green Fruitrotation': 25}
10_2023_07_06_215.jpg,"{'Green Fruit': 4, 'Red Fruit': 13}","{'Red Fruitrotation': 10, 'Green Fruitrotation': 4}"
10_2023_07_18_218.jpg,{},{}
1_2000_03_19_135.jpg,{},{}
1_2000_04_01_86.jpg,{},{}
1_2000_04_02_112.jpg,{},{}
1_2000_04_08_128.jpg,{},{}
1_2015_01_01_154.jpg,{},{}
1_2015_01_01_155.jpg,{},{}
1_2018_05_17_141.jpg,{},{}
1_2018_05_24_143.jpg,{},{}
1_2018_07_03_107.jpg,{},{}
1_2018_07_16_82.jpg,{},{}
1_2019_04_10_220.jpg,{},{}
1_2019_04_26_233.jpg,{},{}
1_2019_05_09_244.jpg,{},{}
1_2019_05_10_245.jpg,{},{}
1_2019_06_12_273.jpg,{},{}
1_2019_06_19_279.jpg,{},{}
1_2019_06_20_280.jpg,{},{}
1_2019_06_25_294.jpg,{},{}
1_2019_06_29_284.jpg,{},{}
1_2019_07_04_288.jpg,{},{}
1_2019_07_12_296.jpg,{},{}
1_2019_07_24_302.jpg,{},{}
1_2019_08_02_307.jpg,{},{}
1_2020_04_07_399.jpg,{},{}
1_2020_05_16_435.jpg,{},{}
1_2020_05_27_443.jpg,{},{}
1_2020_05_29_445.jpg,{},{}
1_2020_06_08_454.jpg,{},{}
1_2020_06_19_466.jpg,{},{}
1_2021_05_05_339.jpg,{},{}
1_2021_05_15_346.jpg,{},{}
1_2021_05_26_352.jpg,{},{}
1_2021_06_06_359.jpg,{},{}
1_2021_06_09_364.jpg,{},{}
1_2021_06_18_371.jpg,{},{}
1_2021_07_21_396.jpg,{},{}
1_2022_04_04_7.jpg,{},{}
1_2022_05_02_37.jpg,{},{}
1_2022_05_12_39.jpg,{},{}
1_2022_05_14_3.jpg,{},{}
1_2022_05_23_45.jpg,{},{}
1_2022_06_07_10.jpg,{},{}
1_2022_06_24_59.jpg,{},{}
1_2022_07_09_14.jpg,{},{}
1_2023_05_12_177.jpg,{},{}
1_2023_05_23_185.jpg,{},{}
1_2023_05_24_186.jpg,{},{'Red Fruitrotation': 1}
36_2000_03_13_226.jpg,{},{}
36_2000_04_03_245.jpg,{'Bud': 21},{'Budrotation': 22}
36_2000_04_09_250.jpg,{'Bud': 30},{'Budrotation': 20}
36_2000_04_12_253.jpg,"{'Bud': 25, 'Flower': 3}","{'Budrotation': 22, 'Flowerrotation': 3}"
36_2017_04_18_500.jpg,{},{'Budrotation': 2}
36_2017_05_24_516.jpg,{'Bud': 40},{'Budrotation': 35}
36_2017_05_25_517.jpg,"{'Flower': 3, 'Bud': 44}","{'Flowerrotation': 3, 'Budrotation': 33}"
36_2017_06_03_523.jpg,"{'Bud': 29, 'Flower': 2, 'Green Fruit': 7}","{'Budrotation': 27, 'Flowerrotation': 2, 'Green Fruitrotation': 7}"
36_2018_05_30_269.jpg,"{'Green Fruit': 19, 'Bud': 4}","{'Green Fruitrotation': 12, 'Budrotation': 3}"
