saguaro_number,date,buds,flowers,green_fruit,red_fruit
50,2018-03-06,0,0,0,0
50,2018-03-07,0,0,0,0
50,2018-03-08,0,0,0,0
50,2018-03-11,0,0,0,0
50,2018-03-12,0,0,0,0
50,2018-03-13,0,0,0,0
50,2018-03-14,0,0,0,0
50,2018-03-15,0,0,0,0
50,2018-03-16,0,0,0,0
50,2018-03-18,0,0,0,0
50,2018-03-19,0,0,0,0
50,2018-03-20,2,0,0,0
50,2018-03-21,6,0,0,0
50,2018-03-22,7,0,0,0
50,2018-03-23,3,0,0,0
50,2018-03-25,13,0,0,0
50,2018-03-26,15,0,0,0
50,2018-03-27,16,0,0,0
50,2018-03-28,28,0,0,0
50,2018-03-29,41,0,0,0
50,2018-03-30,51,0,0,0
50,2018-04-01,48,0,0,0
50,2018-04-02,55,0,0,0
50,2018-04-03,50,0,0,0
50,2018-04-04,52,0,0,0
50,2018-04-05,53,0,0,0
50,2018-04-08,51,0,0,0
50,2018-04-09,51,1,0,0
50,2018-04-10,63,1,0,0
50,2018-04-11,59,0,0,0
50,2018-04-12,57,1,0,0
50,2018-04-13,45,6,0,0
50,2018-04-15,41,9,0,0
50,2018-05-16,34,7,1,0
50,2018-05-17,28,7,3,0
50,2018-05-18,5,3,0,0
50,2018-05-19,25,3,5,0
50,2018-05-23,6,3,16,0
50,2018-05-24,6,0,21,0
50,2018-05-25,2,1,18,0
50,2018-05-26,1,1,22,0
50,2018-05-28,0,1,24,0
50,2018-05-29,1,0,22,0
50,2018-05-30,0,0,29,0
50,2018-05-31,0,0,25,0
50,2018-06-01,0,0,24,0
50,2018-06-02,0,0,26,0
50,2018-06-04,0,0,27,0
50,2018-06-05,0,0,27,0
50,2018-06-06,0,0,29,0
50,2018-06-07,0,0,26,0
50,2018-06-08,0,0,25,0
50,2018-06-11,0,0,24,1
50,2018-06-12,0,0,25,1
50,2018-06-13,0,0,25,1
50,2018-06-14,0,0,24,1
50,2018-06-15,0,0,21,3
50,2018-06-16,0,0,21,3
50,2018-06-18,0,0,13,12
50,2018-06-19,0,0,10,9
50,2018-06-20,0,0,8,11
50,2018-06-21,0,0,7,8
50,2018-06-22,0,0,5,12
50,2018-06-23,0,0,2,10
50,2018-06-25,1,0,2,2
50,2018-06-26,0,0,1,5
50,2018-06-27,0,0,0,1
50,2018-06-30,0,0,0,2
50,2018-07-02,0,0,0,0
50,2018-07-03,0,0,0,0
50,2018-07-05,0,0,0,0
50,2018-07-07,0,0,0,0
50,2018-07-09,0,0,0,0
50,2018-07-10,0,0,0,0
50,2018-07-11,0,0,0,0
50,2018-07-12,0,0,0,0
50,2018-07-17,0,0,0,0
50,2018-07-23,0,0,0,0
50,2019-04-09,0,0,0,0
50,2019-04-10,0,0,0,0
50,2019-04-11,0,0,0,0
50,2019-04-12,0,0,0,0
50,2019-04-13,0,0,0,0
50,2019-04-15,0,0,0,0
50,2019-04-16,0,0,0,0
50,2019-04-17,0,0,0,0
50,2019-04-18,0,0,0,0
50,2019-04-19,0,0,0,0
50,2019-04-20,1,0,0,0
50,2019-04-22,6,0,0,0
50,2019-04-23,8,0,0,0
50,2019-04-24,12,0,0,0
50,2019-04-25,1,0,0,0
50,2019-04-26,12,0,0,0
50,2019-04-27,18,0,0,0
50,2019-04-29,25,0,0,0
50,2019-04-30,15,0,0,0
50,2019-05-01,26,0,0,0
50,2019-05-02,29,0,0,0
50,2019-05-03,25,0,0,0
50,2019-05-04,25,0,0,0
50,2019-05-06,26,0,0,0
50,2019-05-07,40,0,1,0
50,2019-05-08,25,1,0,0
50,2019-05-09,27,0,0,0
50,2019-05-10,25,0,0,0
50,2019-05-11,30,0,0,0
50,2019-05-13,28,2,0,0
50,2019-05-14,33,0,0,0
50,2019-05-15,25,1,0,0
50,2019-05-16,22,4,0,0
50,2019-05-17,23,3,0,0
50,2019-05-18,21,4,0,0
50,2019-05-20,22,1,1,0
50,2019-05-21,14,2,1,0
50,2019-05-22,15,2,2,0
50,2019-05-23,11,1,1,0
50,2019-05-24,14,1,3,0
50,2019-05-25,16,0,4,0
50,2019-05-28,8,2,6,0
50,2019-05-29,12,0,7,0
50,2019-05-30,9,0,6,0
50,2019-05-31,9,2,9,0
50,2019-06-01,9,1,7,0
50,2019-06-03,5,2,14,0
50,2019-06-04,5,3,9,0
50,2019-06-05,4,0,13,0
50,2019-06-06,1,1,12,0
50,2019-06-07,2,0,12,1
50,2019-06-08,1,0,12,0
50,2019-06-10,0,0,13,0
50,2019-06-11,0,0,10,0
50,2019-06-12,1,0,11,0
50,2019-06-13,0,0,11,0
50,2019-06-14,1,0,10,0
50,2019-06-15,3,0,9,0
50,2019-06-17,0,0,12,0
50,2019-06-18,1,0,13,1
50,2019-06-19,1,0,15,1
50,2019-06-20,1,0,9,1
50,2019-06-21,1,0,8,0
50,2019-06-22,1,0,9,1
50,2019-06-24,0,0,10,3
50,2019-06-25,2,0,6,4
50,2019-06-28,0,0,4,3
50,2019-06-29,0,0,5,0
50,2019-07-01,0,0,2,8
